,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Share,Seed,WL,SS,MPG
144,Chris Kaman,C,21,LAC,82,61,1843,3.9,8.5,0.46,0.0,0.0,0.0,3.9,8.5,0.462,1.9,2.8,0.697,2.5,6.5,9.0,1.7,0.4,1.4,3.0,4.1,9.7,2004,9.6,0.502,15.7,-0.9,0.9,0.0,0.001,-3.4,-0.8,-4.2,-1.0,,14.0,0.341,259,22.475609756097562
145,Kyle Korver,SF,22,PHI,74,0,882,4.7,13.3,0.352,3.3,8.4,0.391,1.4,4.9,0.283,0.8,1.0,0.792,1.2,3.3,4.5,1.6,1.0,0.3,1.7,4.2,13.5,2004,10.1,0.489,20.2,0.2,0.8,1.0,0.054,-0.2,-0.5,-0.7,0.3,,11.0,0.402,126,11.91891891891892
146,Raül López,PG,23,UTA,82,11,1617,5.0,11.5,0.431,0.6,1.9,0.294,4.4,9.6,0.458,2.2,2.6,0.863,0.5,2.9,3.5,6.8,1.4,0.0,3.9,4.5,12.7,2004,12.0,0.503,21.4,0.1,1.2,1.4,0.041,-1.7,-1.0,-2.8,-0.3,,9.0,0.512,155,19.71951219512195
147,Zaza Pachulia,C,19,ORL,59,2,664,3.7,9.5,0.389,0.0,0.0,,3.7,9.5,0.389,3.1,4.9,0.644,3.7,5.7,9.4,0.7,1.1,0.7,1.8,4.7,10.5,2004,10.8,0.452,16.9,0.1,0.2,0.3,0.023,-3.3,-2.5,-5.8,-0.6,,15.0,0.256,237,11.254237288135593
148,Sasha Pavlović,SF,20,UTA,79,14,1144,4.7,11.8,0.396,0.6,2.2,0.271,4.1,9.6,0.425,2.0,2.6,0.774,1.4,3.6,5.0,1.9,1.3,0.5,2.1,5.9,12.0,2004,8.7,0.463,19.5,-0.1,1.1,0.9,0.04,-3.9,-0.1,-4.0,-0.6,,9.0,0.512,181,14.481012658227849
149,Mickaël Piétrus,PG,21,GSW,53,22,748,4.6,11.1,0.416,1.7,5.1,0.333,2.9,6.1,0.484,2.5,3.6,0.693,2.3,3.4,5.7,1.3,1.5,0.6,1.9,4.8,13.4,2004,12.9,0.528,18.7,0.8,0.7,1.5,0.095,-1.0,0.4,-0.6,0.3,,11.0,0.451,128,14.11320754716981
150,Zoran Planinić,SG,21,NJN,49,1,473,4.0,9.8,0.411,0.7,2.4,0.281,3.3,7.4,0.454,2.9,4.6,0.633,1.1,3.1,4.2,5.2,1.0,0.2,2.7,5.3,11.6,2004,10.0,0.492,19.0,0.1,0.6,0.7,0.068,-3.3,-0.1,-3.4,-0.2,,2.0,0.573,195,9.653061224489797
151,Luke Ridnour,PG,22,SEA,69,6,1114,4.7,11.3,0.414,0.9,2.6,0.338,3.8,8.7,0.437,2.1,2.6,0.823,1.1,2.4,3.5,5.3,1.7,0.2,2.6,3.4,12.3,2004,13.1,0.496,19.3,0.9,0.2,1.2,0.051,-0.9,-0.6,-1.5,0.2,,12.0,0.451,173,16.144927536231883
152,Darius Songaila,PF,25,SAC,73,7,976,4.9,10.1,0.487,0.0,0.0,,4.9,10.1,0.487,2.6,3.2,0.807,3.4,4.9,8.3,1.8,1.5,0.4,1.6,4.6,12.4,2004,14.6,0.541,16.4,1.7,0.9,2.6,0.129,-0.8,-0.4,-1.2,0.2,,4.0,0.671,165,13.36986301369863
153,Mike Sweetney,PF,21,NYK,42,1,494,5.0,10.2,0.493,0.0,0.1,0.0,5.0,10.1,0.496,3.1,4.2,0.724,5.0,6.5,11.4,1.0,1.3,0.9,2.3,4.2,13.1,2004,17.2,0.544,18.6,0.8,0.7,1.4,0.138,0.0,-1.2,-1.2,0.1,,7.0,0.476,145,11.761904761904763
154,Dwyane Wade,PG,22,MIA,61,56,2126,6.3,13.5,0.465,0.3,0.9,0.302,6.0,12.6,0.477,3.9,5.3,0.747,1.4,2.7,4.2,4.7,1.5,0.6,3.3,2.4,16.8,2004,17.6,0.53,25.0,2.2,2.3,4.6,0.103,1.4,0.1,1.4,1.9,0.198,4.0,0.512,57,34.85245901639344
155,Luke Walton,PF,23,LAL,72,2,730,3.2,7.5,0.425,0.6,1.9,0.333,2.6,5.6,0.456,1.5,2.2,0.705,1.9,4.3,6.3,5.6,1.4,0.4,2.2,3.5,8.6,2004,12.7,0.505,13.3,0.7,0.9,1.6,0.103,-0.4,1.3,0.9,0.5,,2.0,0.683,282,10.13888888888889
156,David West,PF,23,NOH,71,1,930,4.2,8.8,0.474,0.0,0.1,0.0,4.2,8.7,0.478,2.2,3.1,0.713,4.5,7.0,11.5,2.3,1.0,1.1,1.9,4.5,10.6,2004,15.9,0.519,15.3,1.4,1.3,2.8,0.143,-0.8,0.3,-0.5,0.4,,5.0,0.5,235,13.098591549295774
157,Mo Williams,SG,21,UTA,57,0,772,5.4,14.1,0.38,0.5,1.8,0.256,4.9,12.3,0.398,2.1,2.6,0.786,1.1,2.3,3.4,3.5,1.3,0.1,2.4,4.1,13.2,2004,9.4,0.433,22.8,-0.3,0.5,0.2,0.011,-3.1,-0.9,-4.1,-0.4,,9.0,0.512,142,13.543859649122806
158,Tony Allen,SG,23,BOS,77,34,1262,5.2,11.0,0.475,0.3,0.9,0.387,4.9,10.2,0.483,3.2,4.3,0.737,2.4,3.9,6.3,1.8,2.2,0.7,2.2,4.5,14.0,2005,14.7,0.542,18.9,1.2,1.6,2.7,0.103,-0.7,0.8,0.1,0.7,,3.0,0.549,142,16.38961038961039
159,Rafael Araújo,C,24,TOR,59,41,736,3.7,8.6,0.434,0.0,0.1,0.333,3.7,8.4,0.436,2.1,2.7,0.782,2.9,6.2,9.0,0.8,1.0,0.4,2.5,7.7,9.6,2005,7.1,0.492,15.6,-0.4,0.7,0.3,0.016,-6.5,-0.8,-7.4,-1.0,,11.0,0.402,275,12.474576271186441
160,Trevor Ariza,SF,19,NYK,80,12,1382,4.5,10.1,0.442,0.1,0.3,0.231,4.4,9.8,0.449,3.2,4.5,0.695,2.3,4.0,6.3,2.2,1.8,0.5,1.9,3.9,12.2,2005,13.3,0.503,17.8,0.8,1.3,2.1,0.073,-1.2,0.6,-0.6,0.5,,12.0,0.402,199,17.275
161,Matt Bonner,C,24,TOR,82,0,1553,5.7,10.7,0.533,0.9,2.1,0.424,4.8,8.6,0.561,1.3,1.6,0.789,2.5,4.1,6.6,1.1,0.9,0.4,0.9,5.1,13.7,2005,14.7,0.596,15.7,3.3,0.9,4.2,0.13,0.0,-0.6,-0.6,0.5,,11.0,0.402,148,18.9390243902439
162,Josh Childress,SG,21,ATL,80,44,2376,4.6,9.7,0.47,0.2,0.8,0.232,4.4,8.9,0.493,2.9,3.5,0.823,3.0,4.3,7.3,2.3,1.1,0.5,1.6,2.8,12.2,2005,15.2,0.543,16.0,3.7,0.9,4.6,0.093,0.4,-1.0,-0.6,0.8,,15.0,0.159,202,29.7
163,Nick Collison,C,24,SEA,82,4,1396,4.9,9.1,0.537,0.0,0.1,0.0,4.9,9.1,0.541,2.1,3.0,0.703,4.0,5.7,9.7,0.8,0.9,1.3,1.6,6.5,11.9,2005,15.0,0.57,15.5,2.7,1.2,3.9,0.135,-1.3,-0.4,-1.7,0.1,,3.0,0.634,212,17.024390243902438
164,Luol Deng,SF,19,CHI,61,45,1663,6.1,14.0,0.434,0.7,2.5,0.265,5.4,11.4,0.472,2.6,3.5,0.741,2.0,5.0,7.0,2.9,1.0,0.6,2.6,2.1,15.4,2005,14.2,0.496,22.4,0.1,2.9,3.0,0.086,0.2,1.0,1.2,1.3,0.002,4.0,0.573,94,27.262295081967213
165,Chris Duhon,PG,22,CHI,82,73,2177,2.8,8.1,0.352,1.6,4.4,0.355,1.3,3.7,0.35,0.8,1.1,0.731,0.4,3.1,3.5,6.6,1.4,0.0,2.0,3.4,8.1,2005,9.8,0.471,13.1,0.8,3.3,4.1,0.09,-2.2,1.6,-0.7,0.7,,4.0,0.573,307,26.548780487804876
166,Ben Gordon,SG,21,CHI,82,3,2002,7.8,19.0,0.411,2.4,6.0,0.405,5.4,13.0,0.414,4.2,4.9,0.863,1.0,2.9,3.9,2.9,1.0,0.2,3.3,4.0,22.2,2005,14.9,0.526,30.4,0.8,2.7,3.5,0.084,1.0,-0.3,0.7,1.4,0.703,4.0,0.573,12,24.414634146341463
167,Devin Harris,PG,21,DAL,76,19,1173,4.8,11.2,0.429,1.4,4.0,0.336,3.5,7.2,0.481,2.4,3.2,0.757,0.9,2.3,3.1,5.2,2.4,0.6,2.5,4.3,13.4,2005,14.7,0.53,18.8,1.1,1.6,2.7,0.111,-0.1,2.0,1.9,1.2,,4.0,0.707,153,15.43421052631579
168,David Harrison,C,22,IND,43,14,760,5.0,8.7,0.576,0.0,0.0,,5.0,8.7,0.576,2.5,4.3,0.571,2.3,4.1,6.4,0.6,0.8,2.6,2.5,6.3,12.5,2005,12.9,0.589,17.5,0.3,1.1,1.4,0.09,-4.0,1.2,-2.8,-0.2,,6.0,0.537,190,17.674418604651162
169,Dwight Howard,PF,19,ORL,82,82,2670,4.7,9.1,0.52,0.0,0.0,0.0,4.7,9.1,0.521,3.7,5.6,0.671,3.9,7.2,11.1,1.0,1.0,1.8,2.2,3.1,13.2,2005,17.2,0.571,16.7,3.8,3.5,7.3,0.131,0.1,-0.1,0.0,1.4,0.256,10.0,0.439,159,32.5609756097561
170,Kris Humphries,PF,19,UTA,67,4,873,4.8,11.8,0.404,0.1,0.2,0.333,4.7,11.6,0.406,1.8,4.2,0.436,3.0,5.1,8.1,1.8,1.0,0.7,2.1,4.0,11.5,2005,9.5,0.419,20.2,-1.0,0.7,-0.3,-0.019,-3.3,-1.4,-4.6,-0.6,,14.0,0.317,228,13.029850746268657
171,Andre Iguodala,SG,21,PHI,82,82,2686,3.6,7.3,0.493,0.6,1.9,0.331,3.0,5.4,0.55,2.1,2.8,0.743,1.2,5.0,6.2,3.3,1.8,0.6,1.9,2.7,9.9,2005,13.5,0.58,12.8,2.7,4.0,6.6,0.118,-0.7,2.1,1.4,2.3,0.022,7.0,0.524,267,32.75609756097561
172,Royal Ivey,PG,23,ATL,62,5,809,3.8,8.8,0.429,0.1,0.4,0.333,3.6,8.4,0.434,2.1,3.0,0.701,0.8,2.9,3.7,4.6,1.7,0.3,2.6,6.2,9.8,2005,8.9,0.484,15.8,-0.2,0.4,0.2,0.009,-5.4,-0.1,-5.5,-0.7,,15.0,0.159,268,13.048387096774194
173,Al Jefferson,PF,20,BOS,71,1,1051,6.7,12.6,0.528,0.0,0.1,0.0,6.7,12.5,0.533,2.9,4.6,0.63,4.1,6.6,10.7,0.8,0.8,1.9,2.3,6.7,16.3,2005,16.6,0.554,21.2,1.3,1.4,2.7,0.123,-1.7,-0.6,-2.3,-0.1,,3.0,0.549,73,14.80281690140845
174,Mario Kasun,C,24,ORL,45,0,356,4.8,9.9,0.48,0.0,0.1,0.0,4.8,9.8,0.485,2.4,4.3,0.558,5.3,7.7,12.9,0.8,0.8,1.3,2.6,8.7,11.9,2005,12.0,0.505,17.5,0.1,0.4,0.6,0.076,-4.6,-1.2,-5.8,-0.3,,10.0,0.439,213,7.911111111111111
175,Nenad Krstić,PF,21,NJN,75,57,1965,5.1,10.4,0.493,0.0,0.0,0.0,5.1,10.4,0.495,3.4,4.7,0.725,2.9,4.4,7.3,1.4,0.6,1.2,2.1,5.1,13.7,2005,13.4,0.547,19.0,1.9,2.5,4.4,0.108,-2.7,-0.5,-3.2,-0.6,,8.0,0.512,146,26.2
176,Kevin Martin,PG,21,SAC,45,0,455,3.6,9.3,0.385,0.4,2.0,0.2,3.2,7.3,0.435,2.8,4.4,0.655,2.3,2.3,4.6,1.7,1.3,0.2,1.9,2.8,10.4,2005,8.7,0.464,16.1,-0.1,0.2,0.1,0.016,-3.1,-1.1,-4.2,-0.2,,6.0,0.61,259,10.11111111111111
177,Jameer Nelson,PG,22,ORL,79,21,1612,6.4,14.0,0.455,1.0,3.1,0.312,5.4,10.9,0.497,1.6,2.4,0.682,1.2,3.1,4.3,5.3,1.7,0.1,2.6,4.4,15.4,2005,14.5,0.51,21.4,1.2,1.3,2.5,0.074,-0.7,-0.1,-0.7,0.5,,10.0,0.439,92,20.40506329113924
178,Andrés Nocioni,SF,25,CHI,81,38,1892,4.6,11.4,0.401,0.5,1.8,0.258,4.1,9.6,0.429,3.2,4.2,0.766,1.3,6.0,7.3,2.3,0.7,0.6,2.6,4.0,12.9,2005,10.1,0.484,19.7,-0.9,3.3,2.5,0.062,-3.2,1.1,-2.0,0.0,,4.0,0.573,173,23.358024691358025
179,Emeka Okafor,PF,22,CHA,73,73,2600,6.2,13.9,0.447,0.0,0.0,0.0,6.2,13.9,0.447,2.9,4.7,0.609,3.8,7.2,11.0,0.9,0.9,1.7,1.7,3.0,15.3,2005,16.3,0.479,21.8,0.9,3.1,4.0,0.074,-0.7,-1.3,-2.0,0.0,0.816,14.0,0.22,96,35.61643835616438
180,Quinton Ross,SG,23,LAC,78,19,1659,3.5,8.1,0.432,0.0,0.1,0.25,3.5,8.0,0.434,1.6,2.4,0.673,1.3,3.3,4.6,2.4,1.1,0.5,1.2,3.6,8.6,2005,8.9,0.471,13.3,0.4,1.3,1.7,0.05,-3.0,0.3,-2.6,-0.3,,10.0,0.451,295,21.26923076923077
181,J.R. Smith,SG,19,NOH,76,56,1859,5.7,14.5,0.394,1.6,5.4,0.288,4.1,9.0,0.458,2.1,3.1,0.689,0.8,2.2,2.9,2.7,1.1,0.2,2.1,2.6,15.1,2005,10.9,0.478,23.2,-0.7,0.9,0.2,0.006,-1.5,-1.4,-2.9,-0.4,0.002,15.0,0.22,107,24.460526315789473
182,Josh Smith,SF,19,ATL,74,59,2050,4.8,10.6,0.455,0.1,0.4,0.174,4.7,10.2,0.466,2.9,4.2,0.688,2.6,5.4,8.0,2.2,1.0,2.5,2.4,2.8,12.6,2005,15.4,0.506,18.4,0.6,1.8,2.4,0.055,-0.9,0.4,-0.5,0.8,,15.0,0.159,185,27.7027027027027
183,Kirk Snyder,SG,21,UTA,68,7,906,4.8,13.0,0.372,1.2,3.4,0.353,3.7,9.7,0.379,2.5,3.8,0.667,2.0,2.8,4.8,1.4,1.0,0.8,2.3,4.6,13.4,2005,8.6,0.456,21.8,-0.7,0.4,-0.2,-0.012,-2.6,-1.8,-4.4,-0.5,,14.0,0.317,152,13.323529411764707
184,Sebastian Telfair,PG,19,POR,68,26,1330,4.6,11.6,0.393,0.5,1.9,0.246,4.1,9.8,0.421,2.8,3.6,0.789,0.3,2.5,2.8,6.1,0.9,0.1,3.4,3.2,12.5,2005,9.7,0.471,21.2,-0.9,0.5,-0.4,-0.013,-3.4,-2.5,-5.9,-1.3,,13.0,0.329,189,19.558823529411764
185,Beno Udrih,PG,22,SAS,80,2,1149,5.4,12.2,0.444,1.8,4.4,0.408,3.6,7.8,0.464,2.1,2.8,0.753,0.5,2.1,2.6,4.7,1.3,0.3,2.4,3.0,14.8,2005,14.3,0.549,20.5,1.3,1.8,3.1,0.128,0.1,0.8,0.9,0.9,,2.0,0.72,118,14.3625
186,Anderson Varejão,PF,22,CLE,54,0,863,4.1,8.1,0.513,0.0,0.1,0.0,4.1,8.0,0.518,2.8,5.3,0.535,4.5,6.2,10.7,1.1,1.7,1.6,1.1,5.1,11.1,2005,17.0,0.534,14.4,1.5,1.4,3.0,0.164,-0.4,0.6,0.2,0.5,,9.0,0.512,237,15.981481481481481
187,Jackson Vroman,C-PF,23,TOT,46,18,705,4.2,10.2,0.412,0.0,0.2,0.0,4.2,10.0,0.418,2.5,3.8,0.64,3.3,5.7,8.9,2.0,1.3,1.0,3.3,5.4,10.8,2005,9.6,0.457,19.4,-0.9,0.8,-0.1,-0.006,-4.9,0.1,-4.8,-0.5,,,,245,15.326086956521738
188,Esteban Batista,PF,22,ATL,57,3,495,2.5,5.8,0.425,0.0,0.1,0.0,2.5,5.7,0.43,2.4,3.9,0.623,4.4,6.0,10.5,0.5,1.1,0.8,2.8,8.1,7.3,2006,7.1,0.489,13.0,-0.2,0.3,0.1,0.011,-6.2,-1.7,-7.9,-0.7,,14.0,0.317,303,8.68421052631579
189,Andrew Bogut,PF,21,MIL,82,77,2348,5.0,9.3,0.533,0.0,0.0,0.0,5.0,9.2,0.536,1.9,3.0,0.629,2.9,5.9,8.8,2.9,0.8,1.0,1.9,4.0,11.8,2006,15.2,0.555,15.9,3.1,2.4,5.5,0.113,-0.3,0.7,0.4,1.4,0.157,8.0,0.488,202,28.634146341463413
190,Andrew Bynum,C,18,LAL,46,0,338,3.5,8.7,0.402,0.0,0.0,,3.5,8.7,0.402,0.9,2.9,0.296,3.6,4.9,8.5,1.0,0.4,2.3,1.8,6.0,7.9,2006,7.4,0.394,15.0,-0.4,0.4,0.1,0.007,-6.1,-0.8,-6.9,-0.4,,7.0,0.549,294,7.3478260869565215
191,José Calderón,SG,24,TOR,64,11,1487,3.2,7.6,0.423,0.2,1.0,0.163,3.0,6.5,0.465,1.9,2.2,0.848,0.7,2.7,3.4,7.0,1.0,0.1,2.4,2.3,8.4,2006,11.4,0.495,14.1,0.9,0.0,0.9,0.029,-1.0,-1.8,-2.8,-0.3,,12.0,0.329,285,23.234375
192,Ike Diogu,PF,22,GSW,69,14,1031,6.1,11.7,0.524,0.0,0.0,,6.1,11.7,0.524,4.7,5.9,0.81,3.3,4.7,8.0,1.0,0.5,1.0,2.7,5.7,17.0,2006,15.8,0.596,21.0,1.7,1.0,2.6,0.123,-1.6,-0.6,-2.2,0.0,,13.0,0.415,57,14.942028985507246
193,Monta Ellis,SG,20,GSW,49,3,886,5.4,12.9,0.415,1.1,3.3,0.341,4.2,9.6,0.441,1.7,2.4,0.712,0.9,3.4,4.3,3.2,1.3,0.4,2.4,2.8,13.6,2006,11.1,0.486,20.2,-0.3,0.8,0.5,0.028,-1.9,0.2,-1.7,0.1,,13.0,0.415,145,18.081632653061224
194,Daniel Ewing,SG,22,LAC,66,5,971,3.6,9.5,0.38,0.8,2.9,0.282,2.8,6.6,0.424,1.3,1.7,0.783,0.9,2.3,3.2,3.1,1.4,0.2,2.1,3.2,9.3,2006,7.6,0.458,15.8,-0.7,1.0,0.3,0.017,-3.8,0.6,-3.2,-0.3,,6.0,0.573,271,14.712121212121213
195,Raymond Felton,PG,21,CHA,80,54,2406,5.2,13.2,0.391,1.5,4.1,0.358,3.7,9.2,0.405,2.4,3.3,0.725,1.2,2.8,4.0,6.7,1.5,0.1,2.7,2.7,14.2,2006,14.2,0.483,21.4,0.8,1.8,2.6,0.051,0.2,-0.8,-0.6,0.8,0.126,13.0,0.317,124,30.075
196,Channing Frye,C,22,NYK,65,14,1572,7.0,14.7,0.477,0.1,0.2,0.333,6.9,14.5,0.479,4.3,5.2,0.825,3.2,5.4,8.6,1.2,0.7,1.1,2.2,4.6,18.4,2006,18.1,0.541,24.2,2.6,0.9,3.5,0.108,0.7,-1.4,-0.7,0.5,0.066,15.0,0.28,37,24.184615384615384
197,Francisco García,SF,24,SAC,67,11,1301,3.6,9.0,0.4,1.1,3.8,0.285,2.5,5.2,0.484,2.2,2.8,0.772,1.1,4.0,5.1,2.6,1.1,1.3,2.1,3.7,10.4,2006,10.3,0.51,15.7,0.0,1.6,1.6,0.06,-2.1,1.3,-0.8,0.4,,8.0,0.537,241,19.417910447761194
198,Ryan Gomes,PF,23,BOS,61,33,1376,4.5,9.3,0.487,0.1,0.2,0.333,4.4,9.1,0.491,2.9,3.9,0.752,2.7,5.1,7.8,1.5,0.9,0.1,1.4,2.2,12.1,2006,14.0,0.548,15.9,1.9,1.2,3.1,0.108,0.0,-1.2,-1.2,0.3,0.002,11.0,0.402,196,22.557377049180328
199,Joey Graham,SF,23,TOR,80,24,1581,4.5,9.4,0.478,0.7,2.0,0.333,3.8,7.4,0.517,2.5,3.0,0.812,1.3,4.3,5.6,1.4,0.8,0.3,2.1,5.2,12.1,2006,10.2,0.564,16.5,1.0,0.3,1.3,0.038,-2.7,-1.1,-3.8,-0.7,,12.0,0.329,195,19.7625
200,Danny Granger,SF,22,IND,78,17,1765,4.5,9.7,0.462,0.6,1.9,0.323,3.9,7.9,0.496,2.3,3.0,0.777,2.7,5.2,7.8,1.8,1.2,1.3,1.6,4.3,12.0,2006,14.7,0.54,16.4,2.1,3.0,5.1,0.139,-0.7,1.8,1.1,1.4,0.003,6.0,0.5,198,22.628205128205128
201,Orien Greene,PG,23,BOS,80,5,1235,2.9,7.4,0.395,0.3,1.2,0.225,2.7,6.2,0.427,1.3,2.0,0.662,1.1,3.1,4.2,3.8,2.2,0.3,3.2,5.3,7.4,2006,6.4,0.449,14.6,-1.8,1.4,-0.3,-0.013,-5.9,1.4,-4.4,-0.8,,11.0,0.402,301,15.4375
202,Luther Head,SG,23,HOU,80,27,2310,4.0,9.8,0.403,1.8,4.9,0.361,2.2,4.9,0.445,1.3,1.9,0.699,0.5,3.6,4.1,3.4,1.4,0.1,1.9,2.6,11.0,2006,11.2,0.517,16.6,0.5,2.9,3.5,0.072,-1.3,1.1,-0.2,1.1,0.003,12.0,0.415,223,28.875
203,Jarrett Jack,SG,22,POR,79,4,1599,4.3,9.6,0.442,0.5,1.7,0.263,3.8,7.9,0.48,2.9,3.6,0.8,0.4,3.2,3.6,4.9,0.9,0.0,2.3,3.1,11.8,2006,12.3,0.528,17.8,1.1,0.1,1.2,0.035,-1.7,-1.4,-3.1,-0.4,,15.0,0.256,201,20.240506329113924
204,Šarūnas Jasikevičius,PG,29,IND,75,15,1557,3.9,9.9,0.396,2.0,5.5,0.364,1.9,4.5,0.435,2.8,3.1,0.91,0.4,3.1,3.5,5.2,0.9,0.1,2.7,2.5,12.6,2006,12.9,0.561,18.0,1.6,1.7,3.3,0.103,0.1,0.0,0.1,0.9,,6.0,0.5,177,20.76
205,Linas Kleiza,PF,21,DEN,61,2,519,5.3,12.0,0.445,0.1,0.9,0.154,5.2,11.1,0.469,4.0,5.6,0.704,2.6,5.4,8.0,1.0,0.7,0.9,1.1,6.0,14.8,2006,13.2,0.51,19.4,0.6,0.6,1.2,0.111,-2.9,-0.8,-3.7,-0.2,,3.0,0.537,109,8.508196721311476
206,David Lee,SF,22,NYK,67,14,1129,4.4,7.3,0.596,0.0,0.0,,4.4,7.3,0.596,2.3,3.9,0.577,3.5,6.2,9.7,1.4,1.0,0.6,1.6,4.0,11.0,2006,15.4,0.607,13.5,2.0,0.8,2.7,0.116,0.7,-0.6,0.1,0.6,,15.0,0.28,224,16.850746268656717
207,Rashad McCants,SG,21,MIN,79,12,1362,6.4,14.1,0.45,1.8,4.8,0.372,4.6,9.4,0.49,2.1,2.8,0.736,0.8,3.0,3.8,1.7,1.2,0.6,2.3,4.7,16.6,2006,12.6,0.539,23.3,0.2,1.4,1.6,0.058,-1.3,-0.3,-1.7,0.1,,14.0,0.402,64,17.240506329113924
208,Fabricio Oberto,C,30,SAS,59,0,490,3.2,6.8,0.473,0.0,0.1,0.0,3.2,6.7,0.484,1.1,2.0,0.556,4.2,4.8,9.0,2.0,0.7,0.8,2.1,6.7,7.6,2006,9.3,0.491,12.9,0.2,0.9,1.1,0.105,-4.3,1.1,-3.2,-0.2,,1.0,0.768,295,8.305084745762711
209,Chris Paul,PG,20,NOK,78,78,2808,5.2,12.1,0.43,0.6,2.3,0.282,4.6,9.9,0.464,5.1,6.0,0.847,0.8,4.3,5.1,7.8,2.2,0.1,2.3,2.8,16.1,2006,22.1,0.546,22.2,6.8,3.6,10.4,0.178,3.0,2.2,5.2,5.1,0.997,10.0,0.463,74,36.0
210,Johan Petro,C,20,SEA,68,41,1282,4.3,8.4,0.51,0.0,0.0,,4.3,8.4,0.51,1.3,2.1,0.627,3.1,5.3,8.3,0.4,0.7,1.4,1.7,6.0,9.9,2006,10.4,0.53,13.7,0.7,0.2,1.0,0.037,-3.2,-1.5,-4.7,-0.9,,11.0,0.427,253,18.852941176470587
211,Shavlik Randolph,PF,22,PHI,57,1,487,3.3,7.2,0.454,0.0,0.0,,3.3,7.2,0.454,3.2,5.2,0.606,4.1,5.8,9.8,1.4,1.4,0.9,1.6,6.1,9.7,2006,12.6,0.511,14.0,0.5,0.5,1.1,0.105,-2.5,-0.4,-2.9,-0.1,,9.0,0.463,260,8.543859649122806
212,Nate Robinson,PG,21,NYK,72,26,1544,5.4,13.2,0.407,1.4,3.4,0.397,4.0,9.8,0.411,3.5,4.7,0.752,1.3,2.6,3.9,3.4,1.4,0.0,2.7,4.7,15.6,2006,12.6,0.512,22.5,1.0,0.5,1.5,0.046,-1.0,-1.1,-2.1,-0.1,,15.0,0.28,90,21.444444444444443
213,Wayne Simien,PF,22,MIA,43,2,414,5.0,10.4,0.483,0.0,0.0,,5.0,10.4,0.483,2.6,3.0,0.882,3.3,4.3,7.7,0.6,1.1,0.1,2.1,6.1,12.7,2006,11.5,0.541,17.7,0.4,0.5,0.8,0.096,-3.6,-0.7,-4.3,-0.2,,2.0,0.634,172,9.627906976744185
214,James Singleton,SF,24,LAC,59,10,753,3.7,7.2,0.51,0.5,1.0,0.5,3.2,6.3,0.511,1.9,2.4,0.78,3.0,6.4,9.4,1.4,0.9,1.0,1.3,4.5,9.7,2006,13.6,0.587,12.3,1.2,1.1,2.3,0.147,-0.7,1.0,0.4,0.4,,6.0,0.573,258,12.76271186440678
215,Salim Stoudamire,SG,23,ATL,61,1,1236,5.9,14.3,0.415,2.4,6.3,0.38,3.6,8.0,0.442,2.9,3.2,0.9,0.3,3.0,3.4,2.2,0.8,0.1,2.4,3.4,17.2,2006,12.5,0.545,22.9,1.1,0.0,1.2,0.046,-0.3,-2.3,-2.5,-0.2,,14.0,0.317,55,20.262295081967213
216,Donell Taylor,SG,23,WAS,51,1,465,4.1,10.5,0.39,0.3,1.3,0.235,3.8,9.2,0.412,2.3,3.3,0.698,1.2,2.9,4.1,3.5,2.3,0.3,2.6,3.6,10.8,2006,10.1,0.452,18.1,-0.3,0.5,0.2,0.017,-3.5,1.1,-2.4,0.0,,5.0,0.512,227,9.117647058823529
217,Charlie Villanueva,PF,21,TOR,81,36,2361,6.6,14.3,0.463,1.1,3.3,0.327,5.6,11.1,0.503,1.7,2.4,0.706,2.8,5.2,7.9,1.3,0.9,1.0,1.5,3.8,16.1,2006,16.4,0.521,21.7,2.9,1.0,3.9,0.079,0.7,-1.6,-0.9,0.6,0.397,12.0,0.329,73,29.14814814814815
218,Hakim Warrick,PF,23,MEM,68,2,724,5.0,11.3,0.443,0.0,0.0,,5.0,11.3,0.443,3.8,5.7,0.661,2.1,5.0,7.2,1.5,0.7,1.0,2.8,5.6,13.8,2006,11.0,0.499,22.5,-0.3,1.1,0.8,0.053,-4.9,-0.1,-5.0,-0.5,,5.0,0.598,139,10.647058823529411
219,Martell Webster,SF,19,POR,61,18,1070,4.7,11.7,0.399,2.2,6.1,0.357,2.5,5.6,0.446,2.1,2.4,0.859,1.0,3.4,4.4,1.1,0.7,0.5,1.4,3.0,13.6,2006,11.6,0.533,18.7,0.8,0.1,0.9,0.039,-0.3,-2.2,-2.5,-0.1,,15.0,0.256,147,17.540983606557376
220,Deron Williams,PG,21,UTA,80,47,2307,5.3,12.6,0.421,1.4,3.4,0.416,3.9,9.1,0.423,1.5,2.1,0.704,0.5,2.5,3.0,5.6,0.9,0.3,2.3,3.6,13.5,2006,12.4,0.5,20.3,1.5,1.3,2.8,0.059,-0.5,-1.2,-1.7,0.2,0.05,9.0,0.5,149,28.8375
