,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Share,Seed,WL,SS,MPG
27,Kenny Thomas,PF,22,HOU,72,29,1797,4.2,10.6,0.399,0.6,2.4,0.262,3.6,8.2,0.44,2.8,4.2,0.66,2.9,5.8,8.8,2.3,1.1,0.4,2.2,3.3,11.9,2000,12.0,0.477,18.0,0.6,1.6,2.2,0.058,-1.8,-0.8,-2.6,-0.3,,11.0,0.415,214,24.958333333333332
28,Metta World Peace,SF,20,CHI,72,63,2238,5.0,12.2,0.407,1.0,3.1,0.314,4.0,9.1,0.438,3.0,4.5,0.674,1.0,4.0,5.0,3.2,1.9,0.6,2.7,2.6,13.9,2000,13.4,0.491,21.4,-0.3,2.6,2.3,0.05,-1.1,0.9,-0.2,1.0,,15.0,0.207,146,31.083333333333332
29,Courtney Alexander,PG,23,TOT,65,24,1382,6.2,14.9,0.417,0.4,1.2,0.37,5.8,13.7,0.421,3.2,3.9,0.82,1.1,2.6,3.7,1.6,1.2,0.1,2.0,3.6,16.1,2001,11.6,0.484,23.2,0.3,0.5,0.8,0.027,-2.4,-1.9,-4.3,-0.8,,,,67,21.26153846153846
30,Mark Blount,C,25,BOS,64,50,1098,3.3,6.6,0.505,0.0,0.0,,3.3,6.6,0.505,1.5,2.2,0.697,3.2,4.4,7.6,1.0,1.3,2.5,2.0,6.0,8.1,2001,11.1,0.541,12.0,0.5,1.4,1.9,0.084,-4.2,1.1,-3.1,-0.3,,9.0,0.439,289,17.15625
31,Mateen Cleaves,PG,23,DET,78,8,1268,4.5,11.4,0.4,0.1,0.5,0.294,4.4,10.9,0.405,2.8,3.9,0.708,0.7,3.0,3.7,5.9,1.4,0.0,3.9,4.3,12.0,2001,9.0,0.458,20.5,-1.3,1.2,-0.1,-0.006,-4.5,-0.7,-5.2,-1.0,,10.0,0.39,177,16.256410256410255
32,Jamal Crawford,PG,20,CHI,61,8,1050,3.7,10.4,0.352,1.4,4.0,0.35,2.3,6.4,0.353,0.9,1.2,0.794,0.3,2.7,3.1,4.8,1.5,0.5,2.9,2.3,9.7,2001,8.5,0.442,17.9,-1.3,0.4,-0.9,-0.043,-2.9,-1.5,-4.4,-0.6,,15.0,0.183,253,17.21311475409836
33,Keyon Dooling,PG,20,LAC,76,1,1237,4.3,10.5,0.409,0.8,2.3,0.35,3.5,8.2,0.426,3.6,5.2,0.698,0.2,2.4,2.6,5.2,1.2,0.3,2.7,3.1,13.1,2001,12.6,0.509,20.0,0.8,0.7,1.4,0.056,-1.5,-0.9,-2.5,-0.2,,12.0,0.378,140,16.276315789473685
34,Khalid El-Amin,PG,21,CHI,50,14,936,4.4,12.0,0.37,1.1,3.2,0.333,3.3,8.7,0.383,2.2,2.8,0.778,0.8,2.3,3.1,5.6,1.8,0.1,2.1,3.8,12.1,2001,12.2,0.458,19.7,0.2,0.4,0.6,0.03,-1.7,-0.7,-2.4,-0.1,,15.0,0.183,173,18.72
35,Marcus Fizer,PF,22,CHI,72,13,1580,6.3,14.7,0.43,0.2,0.9,0.256,6.1,13.8,0.442,2.7,3.7,0.727,1.7,5.4,7.1,1.7,0.7,0.4,2.8,4.0,15.6,2001,11.0,0.476,24.7,-1.3,0.6,-0.7,-0.022,-3.3,-2.8,-6.1,-1.6,,15.0,0.183,86,21.944444444444443
36,Eddie House,PG,22,MIA,50,0,550,6.8,16.2,0.421,1.2,3.6,0.345,5.6,12.6,0.443,1.6,2.3,0.686,0.3,2.4,2.7,3.4,0.9,0.0,2.3,3.8,16.4,2001,11.6,0.478,26.2,-0.2,0.6,0.4,0.035,-2.4,-0.9,-3.3,-0.2,,3.0,0.61,56,11.0
37,Marc Jackson,C,26,GSW,48,35,1410,6.1,13.0,0.467,0.1,0.6,0.217,5.9,12.4,0.478,3.9,4.9,0.802,3.0,6.2,9.2,1.5,0.9,0.7,2.4,3.5,16.2,2001,16.1,0.534,20.5,1.9,0.7,2.6,0.089,-0.2,-1.4,-1.6,0.2,0.056,14.0,0.207,63,29.375
38,Stephen Jackson,SF,22,NJN,77,40,1660,5.3,12.4,0.425,1.1,3.4,0.335,4.1,9.0,0.458,2.1,2.9,0.719,0.9,3.6,4.5,3.0,1.9,0.3,2.8,3.6,13.8,2001,12.1,0.503,20.8,-0.4,1.3,0.9,0.026,-1.6,0.1,-1.6,0.2,,12.0,0.317,121,21.558441558441558
39,DerMarr Johnson,SF,20,ATL,78,21,1313,4.0,10.7,0.374,1.1,3.5,0.323,2.9,7.2,0.399,1.8,2.4,0.736,1.5,3.3,4.9,1.8,1.2,0.8,2.5,3.7,10.9,2001,8.4,0.463,17.7,-0.9,0.9,0.0,0.0,-2.8,-0.8,-3.5,-0.5,,13.0,0.305,220,16.833333333333332
40,Mark Madsen,PF,25,LAL,70,3,641,3.1,6.3,0.487,0.1,0.1,1.0,3.0,6.3,0.482,1.5,2.1,0.703,4.2,4.4,8.5,1.3,0.4,0.4,1.5,6.2,7.7,2001,9.2,0.53,10.9,0.8,0.3,1.1,0.085,-2.9,-1.6,-4.5,-0.4,,2.0,0.683,292,9.157142857142857
41,Jamaal Magloire,C,22,CHH,74,0,1095,4.0,8.9,0.45,0.0,0.1,0.0,4.0,8.8,0.454,3.1,4.8,0.655,3.4,6.3,9.7,0.9,0.6,2.6,2.0,4.6,11.1,2001,13.4,0.506,16.7,0.6,2.0,2.6,0.114,-3.0,0.8,-2.2,-0.1,,6.0,0.561,205,14.797297297297296
42,Kenyon Martin,PF,23,NJN,68,68,2272,5.5,12.3,0.445,0.0,0.2,0.091,5.5,12.1,0.45,1.9,3.0,0.63,2.2,5.8,8.0,2.1,1.2,1.8,2.2,4.5,12.9,2001,13.4,0.472,19.9,-0.4,2.5,2.1,0.044,-2.1,0.4,-1.7,0.2,0.29,12.0,0.317,147,33.411764705882355
43,Desmond Mason,SF,23,SEA,78,14,1522,4.5,10.4,0.431,0.4,1.6,0.269,4.0,8.8,0.46,1.6,2.2,0.736,1.7,4.2,5.9,1.5,0.9,0.5,1.3,3.5,11.0,2001,10.5,0.483,15.8,1.0,0.8,1.7,0.055,-1.8,-1.0,-2.8,-0.3,,10.0,0.537,218,19.512820512820515
44,Paul McPherson,PG,22,TOT,55,0,595,6.6,13.1,0.505,0.1,0.7,0.167,6.5,12.3,0.525,2.5,3.5,0.724,2.4,2.4,4.8,2.3,1.5,0.2,2.8,4.8,15.9,2001,13.6,0.542,21.0,0.4,0.5,0.9,0.074,-1.6,-0.3,-1.9,0.0,,,,73,10.818181818181818
45,Chris Mihm,C,21,CLE,59,43,1166,5.3,12.1,0.442,0.0,0.0,0.0,5.3,12.0,0.444,3.1,3.9,0.794,3.3,5.4,8.6,0.5,0.6,1.6,2.5,4.8,13.8,2001,12.6,0.5,20.4,0.3,1.0,1.3,0.053,-2.9,-1.3,-4.2,-0.7,,11.0,0.366,118,19.76271186440678
46,Darius Miles,SF,19,LAC,81,21,2133,5.4,10.6,0.505,0.0,0.3,0.053,5.4,10.3,0.519,2.1,4.0,0.521,2.1,5.9,8.1,1.7,0.9,2.1,2.5,3.2,12.8,2001,14.7,0.518,19.1,0.5,2.6,3.0,0.068,-1.3,0.8,-0.5,0.8,0.024,12.0,0.378,149,26.333333333333332
47,Mike Miller,SF,20,ORL,82,62,2390,5.5,12.7,0.436,2.2,5.5,0.407,3.3,7.2,0.457,1.4,1.9,0.711,1.0,3.9,4.9,2.1,0.8,0.3,1.5,3.0,14.7,2001,13.2,0.541,18.5,3.3,1.9,5.3,0.106,0.7,-0.9,-0.2,1.0,0.605,7.0,0.524,101,29.146341463414632
48,Hanno Möttölä,SF,24,ATL,73,3,989,4.5,10.1,0.444,0.0,0.1,0.0,4.5,10.0,0.449,2.7,3.3,0.811,1.8,4.6,6.3,0.9,0.4,0.3,2.4,5.9,11.6,2001,7.5,0.504,17.3,-0.1,0.5,0.4,0.018,-5.1,-1.5,-6.6,-1.1,,13.0,0.305,191,13.547945205479452
49,Lee Nailon,SF,25,CHH,42,0,469,5.1,10.4,0.485,0.0,0.1,0.0,5.1,10.4,0.489,2.5,3.3,0.744,2.2,4.8,7.1,1.8,0.7,0.4,2.1,4.6,12.6,2001,11.7,0.529,17.9,0.4,0.6,0.9,0.096,-2.5,-0.1,-2.6,-0.1,,6.0,0.561,157,11.166666666666666
50,Mike Penberthy,PG,26,LAL,53,0,851,3.9,9.4,0.414,2.3,5.9,0.396,1.6,3.5,0.446,1.2,1.3,0.903,0.4,2.2,2.7,3.0,0.9,0.1,1.4,2.4,11.3,2001,11.2,0.567,14.2,1.3,0.2,1.6,0.088,-0.3,-1.2,-1.6,0.1,,2.0,0.683,201,16.056603773584907
51,Morris Peterson,SG,23,TOR,80,49,1809,5.8,13.4,0.431,1.3,3.3,0.382,4.5,10.1,0.447,2.1,2.9,0.717,2.2,2.9,5.2,2.1,1.3,0.4,1.6,3.3,14.9,2001,14.1,0.507,20.1,2.3,1.3,3.6,0.096,0.1,-0.8,-0.7,0.5,0.024,5.0,0.573,96,22.6125
52,Chris Porter,SF,22,GSW,51,35,1147,5.4,14.0,0.389,0.0,0.2,0.0,5.4,13.8,0.393,3.0,4.4,0.667,2.8,3.1,5.9,1.9,1.4,0.2,1.9,3.5,13.8,2001,11.1,0.434,20.8,-0.1,0.3,0.2,0.008,-2.7,-1.8,-4.5,-0.7,,14.0,0.207,120,22.49019607843137
53,Quentin Richardson,SG,20,LAC,76,28,1358,6.2,13.9,0.442,1.3,4.0,0.331,4.8,9.9,0.487,2.6,4.2,0.627,2.8,4.0,6.8,1.6,1.1,0.2,1.7,2.6,16.3,2001,16.5,0.516,22.4,2.1,1.0,3.0,0.106,2.0,-1.1,0.8,0.9,,12.0,0.378,59,17.86842105263158
54,Daniel Santiago,C,24,PHO,54,2,581,4.0,8.3,0.478,0.0,0.0,,4.0,8.3,0.478,2.6,3.8,0.689,2.2,4.2,6.3,0.7,1.1,1.3,2.9,6.3,10.5,2001,7.9,0.528,16.0,-0.3,0.9,0.6,0.052,-5.8,1.1,-4.8,-0.4,,6.0,0.622,228,10.75925925925926
55,Stromile Swift,PF,21,VAN,80,6,1312,4.2,9.3,0.451,0.0,0.1,0.0,4.2,9.2,0.457,2.3,3.9,0.603,3.0,4.8,7.8,0.8,1.7,2.3,1.8,4.4,10.7,2001,13.1,0.487,16.2,0.2,1.6,1.9,0.069,-2.9,0.9,-2.0,0.0,,13.0,0.28,224,16.4
56,Dragan Tarlać,C,27,CHI,43,12,598,2.3,6.0,0.394,0.0,0.0,,2.3,6.0,0.394,1.5,2.0,0.758,2.2,5.1,7.3,1.9,0.4,1.1,2.3,5.7,6.2,2001,5.6,0.454,11.8,-0.4,0.2,-0.2,-0.016,-6.2,-1.1,-7.3,-0.8,,15.0,0.183,303,13.906976744186046
