,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Shoo,Shoo,Shoo,-additional
Player,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
Obi Toppin,7.0,13.2,1.5,4.9,2.4,3.2,1.9,7.7,2.3,0.8,0.9,1.6,2.9,17.9,.527,.319,.763,toppiob01
Juan Toscano-Anderson,4.3,8.4,1.2,3.3,1.3,2.1,1.0,6.8,4.6,1.6,0.7,2.3,3.9,11.0,.507,.350,.623,toscaju01
Karl-Anthony Towns,9.2,17.7,2.3,5.8,5.5,6.6,2.8,10.6,4.2,1.0,1.2,3.2,3.8,26.2,.517,.404,.830,townska01
Gary Trent Jr.,6.6,15.5,3.1,7.9,2.3,2.7,0.5,3.1,2.0,1.6,0.3,1.0,2.1,18.5,.424,.393,.839,trentga02
P.J. Tucker,3.3,7.2,1.4,3.6,0.8,1.1,1.7,6.5,2.4,1.0,0.4,1.2,3.1,8.7,.450,.379,.744,tuckepj01
Rayjon Tucker,5.1,10.4,1.7,4.3,3.3,4.3,1.3,5.8,3.8,1.3,0.4,1.7,2.9,15.3,.494,.404,.763,tuckera01
Myles Turner,5.6,11.4,1.8,5.2,2.5,3.3,1.8,8.2,1.4,0.9,3.3,1.6,3.6,15.5,.494,.340,.767,turnemy01
Jonas Valančiūnas,8.3,15.0,0.8,2.3,3.5,4.4,3.9,13.9,2.8,0.7,1.0,2.6,3.8,20.9,.554,.359,.801,valanjo01
Denzel Valentine,5.3,13.7,2.7,7.8,0.8,0.9,1.1,6.7,3.2,1.2,0.3,1.7,2.8,14.2,.392,.350,.830,valende01
Jarred Vanderbilt,4.4,7.4,0.2,0.6,1.8,2.7,3.9,11.8,2.1,1.9,1.0,1.5,3.5,10.7,.587,.279,.650,vandeja01
Fred VanVleet,6.4,15.9,3.3,8.9,2.9,3.4,0.6,4.3,6.2,1.6,0.6,2.3,2.4,19.1,.402,.374,.870,vanvlfr01
Devin Vassell,5.8,13.3,2.4,6.5,1.6,1.9,0.9,5.9,2.5,1.4,0.7,1.0,2.7,15.7,.437,.369,.839,vassede01
Gabe Vincent,5.0,11.9,2.6,7.3,1.1,1.4,0.6,3.2,4.5,1.4,0.3,2.1,3.6,13.7,.417,.359,.819,vincega01
Nikola Vučević,8.6,18.4,1.9,5.5,1.7,2.1,2.1,11.8,3.7,1.0,0.9,2.0,2.5,20.8,.471,.344,.786,vucevni01
Dean Wade,4.0,8.9,2.0,5.6,1.0,1.3,1.2,6.0,2.2,1.1,0.4,0.8,2.9,11.0,.453,.365,.726,wadede01
Franz Wagner,6.9,14.3,1.5,4.1,2.9,3.3,1.3,5.5,3.5,1.0,0.5,1.7,2.4,18.2,.481,.367,.864,wagnefr01
Moritz Wagner,6.7,13.6,2.1,6.3,3.7,4.5,1.6,8.3,3.1,1.0,0.6,2.1,4.7,19.3,.495,.338,.811,wagnemo01
Ish Wainright,4.7,11.3,1.9,5.7,1.3,1.9,2.3,5.8,2.2,1.7,0.6,1.5,4.3,12.6,.419,.331,.691,wainris01
Kemba Walker,6.5,15.8,3.0,8.3,3.0,3.4,0.6,4.5,5.1,1.1,0.4,2.1,1.7,19.0,.413,.362,.861,walkeke02
Lonnie Walker IV,6.7,15.8,2.4,7.1,2.2,2.8,0.5,4.2,3.1,0.9,0.4,1.6,2.3,17.9,.422,.337,.792,walkelo01
M.J. Walker,5.9,13.3,1.8,5.4,2.4,3.1,1.5,6.6,3.8,1.5,0.7,1.9,3.0,16.0,.441,.334,.780,walkemj01
Tyrone Wallace,5.0,11.8,1.4,4.6,2.0,3.1,1.0,5.7,2.7,1.3,0.6,1.8,3.2,13.4,.424,.310,.634,wallaty01
Derrick Walton,4.2,10.6,1.5,4.7,1.9,2.4,1.1,5.0,4.9,1.5,0.8,2.4,2.9,11.9,.399,.324,.818,waltode01
Brad Wanamaker,4.0,10.1,0.8,2.9,2.9,3.3,0.7,4.2,5.4,1.3,0.5,2.4,3.7,11.8,.400,.263,.886,wanambr01
Duane Washington Jr.,6.5,15.4,2.9,7.5,1.9,2.4,0.4,3.7,3.3,1.0,0.2,2.1,2.5,17.8,.424,.386,.767,washidu02
P.J. Washington,5.4,11.6,2.2,5.7,1.6,2.2,1.7,7.2,3.0,1.2,1.3,1.9,3.1,14.6,.466,.379,.730,washipj01
Yuta Watanabe,4.6,10.7,2.0,5.4,1.8,2.6,1.6,7.5,2.1,1.1,1.1,1.4,3.0,12.9,.428,.363,.680,watanyu01
Lindy Waters III,5.7,13.4,3.6,9.7,0.9,1.2,0.8,6.0,2.4,1.4,0.6,1.2,2.5,15.9,.426,.367,.784,waterli01
Tremont Waters,5.3,12.7,1.9,5.6,2.2,2.6,1.0,4.8,5.9,2.0,0.4,3.0,2.8,14.7,.418,.342,.848,watertr01
Trendon Watford,6.1,11.4,0.6,2.1,2.9,3.8,2.3,8.2,3.5,1.1,1.1,1.8,4.4,15.7,.531,.292,.767,watfotr01
Paul Watson,4.5,10.5,2.3,6.2,1.2,1.7,0.9,6.2,2.6,0.9,0.6,1.4,3.1,12.5,.431,.361,.725,watsopa01
Quinndary Weatherspoon,5.7,11.8,1.2,3.8,2.7,3.3,1.2,5.9,3.2,1.2,0.6,2.1,4.4,15.3,.484,.317,.825,weathqu01
Russell Westbrook,7.7,17.5,1.1,3.8,3.8,5.6,1.5,8.6,8.3,1.1,0.3,4.2,3.1,20.3,.440,.298,.669,westbru01
Coby White,6.3,14.4,2.9,7.5,2.0,2.3,0.5,4.5,4.4,0.7,0.3,1.9,2.9,17.4,.436,.384,.866,whiteco01
Derrick White,5.7,13.4,2.0,6.2,3.3,3.9,0.7,4.3,5.5,1.0,1.0,1.9,2.9,16.7,.424,.325,.857,whitede01
Hassan Whiteside,7.0,11.5,0.2,0.5,3.0,4.9,4.5,14.4,1.2,0.7,3.0,1.9,4.9,17.1,.606,.353,.621,whiteha01
Joe Wieskamp,4.7,11.3,2.2,6.5,1.8,2.7,1.1,4.4,2.6,0.9,0.6,1.1,2.6,13.6,.421,.345,.674,wieskjo01
Aaron Wiggins,4.9,10.4,1.3,4.2,2.0,2.6,1.5,5.5,2.3,0.9,0.4,1.6,2.7,13.1,.471,.319,.742,wiggiaa01
Andrew Wiggins,7.5,16.0,2.3,6.0,2.5,3.7,1.3,5.2,2.7,1.1,0.9,1.8,2.4,19.8,.470,.385,.673,wiggian01
Lindell Wigginton,5.4,12.0,1.8,4.9,3.1,5.0,1.0,5.6,4.0,1.0,0.4,2.1,3.0,15.6,.452,.357,.620,wiggili01
Brandon Williams,6.1,15.2,1.8,5.8,3.6,5.0,1.2,4.8,5.1,1.3,0.6,3.0,2.9,17.5,.398,.313,.719,willibr03
Grant Williams,4.0,8.4,1.9,4.7,1.6,1.9,1.4,5.6,1.8,0.8,1.0,1.4,3.9,11.4,.471,.401,.829,willigr01
Kenrich Williams,5.0,10.5,1.4,3.8,1.1,1.8,2.3,7.2,3.6,1.4,0.4,1.7,3.1,12.5,.481,.363,.578,willike04
Lou Williams,6.3,15.6,1.8,4.8,3.6,4.2,0.7,3.9,5.3,1.1,0.2,2.5,1.9,17.9,.400,.364,.853,willilo02
Patrick Williams,4.9,9.7,1.2,2.8,2.0,2.7,1.3,6.2,1.9,1.1,0.8,1.6,2.3,13.1,.505,.429,.746,willipa01
Robert Williams,5.8,8.2,0.1,0.4,1.5,2.1,4.6,11.8,2.7,1.2,2.7,1.4,3.0,13.2,.709,.340,.704,williro04
Ziaire Williams,5.4,11.5,2.1,6.3,1.3,1.7,0.8,3.9,2.0,1.0,0.4,1.2,2.9,14.1,.466,.330,.790,willizi02
D.J. Wilson,6.0,13.2,1.9,5.9,2.2,3.0,1.4,8.6,2.8,1.2,1.0,1.9,3.4,16.1,.454,.330,.743,wilsodj01
Dylan Windler,3.9,9.1,1.8,5.4,1.5,1.9,1.6,7.1,2.8,1.2,0.5,1.7,3.2,11.0,.422,.325,.800,windldy01
Justise Winslow,5.3,12.8,0.9,3.5,1.8,3.0,2.0,8.8,3.9,1.4,1.0,2.3,3.1,13.3,.417,.246,.622,winslju01
Cassius Winston,5.6,12.5,2.1,5.4,2.6,3.2,1.0,5.2,4.3,0.9,0.5,2.1,3.7,16.0,.452,.388,.829,winstca01
Christian Wood,7.8,15.4,2.1,5.6,3.6,5.6,2.0,11.3,2.5,0.9,1.2,2.2,2.8,21.4,.509,.386,.642,woodch01
Robert Woodard II,5.4,13.5,1.6,4.8,2.4,3.3,2.2,7.9,3.3,1.0,0.9,1.7,2.8,14.9,.403,.335,.729,woodaro01
Delon Wright,3.9,8.6,1.2,3.2,1.7,2.1,1.3,5.6,5.0,2.1,0.5,1.4,1.6,10.7,.457,.372,.816,wrighde01
McKinley Wright IV,5.9,12.4,1.9,5.1,2.3,3.0,1.4,6.0,3.9,1.0,0.6,2.0,2.8,16.0,.479,.372,.780,wrighmc01
Moses Wright,5.9,12.9,1.7,5.0,3.0,3.6,1.6,6.8,3.9,1.1,0.9,1.9,2.7,16.5,.456,.347,.816,wrighmo01
Gabe York,5.8,13.0,1.8,5.8,2.8,3.9,1.4,6.3,4.0,1.4,0.8,2.0,3.4,16.2,.442,.316,.730,yorkga01
Thaddeus Young,6.8,13.1,0.8,2.3,1.3,2.3,3.2,8.5,4.8,1.9,0.8,2.5,3.3,15.6,.516,.336,.576,youngth01
Trae Young,9.3,20.1,3.0,7.9,7.2,8.0,0.7,4.1,9.9,1.0,0.2,4.1,1.8,28.7,.461,.378,.896,youngtr01
Omer Yurtseven,6.6,12.7,0.4,1.4,2.1,3.2,3.9,13.6,2.8,0.9,1.0,2.0,4.0,15.7,.521,.279,.661,yurtsom01
Cody Zeller,6.1,11.3,0.4,1.6,3.2,4.4,4.1,11.2,2.8,1.0,0.6,1.9,4.4,15.8,.537,.249,.731,zelleco01
Ivica Zubac,6.1,9.7,0.1,0.3,3.2,4.2,4.2,12.3,2.3,0.7,1.5,2.0,3.9,15.4,.625,.345,.750,zubaciv01
