,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Shoo,Shoo,Shoo,-additional
Player,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
Vit Krejci,4.1,9.5,1.7,5.1,1.3,1.6,1.1,5.7,3.2,1.0,0.5,1.6,3.2,11.3,.433,.343,.834,krejcvi01
Arnoldas Kulboka,6.0,13.0,1.8,5.3,2.5,3.2,1.5,6.5,3.6,1.1,0.7,2.0,3.0,16.2,.460,.345,.779,kulboar01
Jonathan Kuminga,7.3,13.9,1.6,4.6,3.9,5.5,1.7,7.3,2.2,1.0,0.7,2.2,4.1,20.0,.523,.352,.704,kuminjo01
Kyle Kuzma,6.7,14.9,2.2,6.3,2.2,3.1,1.4,8.5,3.3,0.7,0.9,2.5,2.2,17.8,.451,.348,.716,kuzmaky01
Anthony Lamb,4.9,11.5,1.9,5.8,2.0,2.4,1.9,6.3,2.9,0.8,0.6,1.8,2.8,13.7,.427,.335,.813,lamban01
Jeremy Lamb,5.4,13.3,2.1,6.0,3.2,3.7,1.0,6.0,3.0,1.3,0.9,1.4,2.7,16.1,.409,.344,.856,lambje01
Jock Landale,6.2,12.6,1.8,5.4,2.2,2.7,3.4,8.1,3.0,0.7,0.8,1.9,3.2,16.3,.489,.333,.816,landajo01
Romeo Langford,4.1,9.3,1.3,3.8,1.4,2.1,1.5,5.2,1.5,1.0,0.7,1.0,2.4,10.8,.438,.343,.637,langfro01
Zach LaVine,9.1,18.7,3.0,7.6,4.7,5.6,0.5,5.0,4.7,0.8,0.4,2.9,2.1,25.9,.484,.398,.846,lavinza01
Jake Layman,5.3,11.6,1.5,5.0,1.9,2.6,1.0,5.0,1.9,1.3,0.9,1.7,2.5,14.0,.458,.292,.732,laymaja01
Damion Lee,4.8,10.9,2.0,5.7,1.9,2.2,0.8,5.9,2.3,1.2,0.2,1.2,2.8,13.6,.444,.355,.871,leeda03
Saben Lee,4.6,10.6,0.8,2.9,3.1,4.1,1.1,5.3,6.7,1.8,0.7,2.2,2.9,13.2,.438,.287,.760,leesa01
Alex Len,5.9,10.7,0.5,1.7,2.5,3.8,2.9,9.4,2.4,0.8,1.7,2.2,5.0,14.9,.552,.316,.654,lenal01
Caris LeVert,7.9,17.8,1.8,5.5,3.1,4.1,0.9,4.7,5.2,1.2,0.5,2.3,2.6,20.7,.442,.327,.767,leverca01
Kira Lewis Jr.,5.9,14.0,1.6,5.3,1.7,2.0,0.8,4.1,4.9,1.4,0.4,1.9,2.7,15.0,.419,.306,.830,lewiski01
Scottie Lewis,6.0,12.6,1.8,5.0,2.7,3.6,1.5,6.5,3.8,1.3,0.7,1.9,2.7,16.4,.473,.364,.751,lewissc01
Damian Lillard,8.3,19.1,3.6,9.8,5.9,6.6,0.5,4.3,7.2,0.8,0.3,2.9,1.5,26.0,.432,.363,.898,lillada01
Nassir Little,4.9,10.4,1.7,4.9,2.3,3.0,1.9,7.7,1.9,0.8,1.1,1.3,2.8,13.8,.472,.344,.753,littlna01
Isaiah Livers,4.6,9.9,2.4,5.8,1.6,1.9,1.5,5.8,2.5,1.2,0.7,1.6,3.3,13.1,.466,.411,.819,liveris01
Kevon Looney,4.2,7.7,0.2,0.5,1.5,2.4,4.0,11.5,3.5,1.0,1.0,1.4,4.3,10.1,.554,.303,.627,looneke01
Brook Lopez,6.2,13.1,1.9,5.7,2.3,2.8,1.8,6.4,1.3,0.8,2.0,1.4,3.2,16.6,.473,.334,.837,lopezbr01
Robin Lopez,6.5,11.6,0.4,1.3,2.2,3.3,3.4,7.0,2.3,0.4,1.1,2.3,3.4,15.7,.563,.330,.663,lopezro01
Didi Louzada,4.7,11.1,2.1,5.7,1.6,1.9,1.4,5.6,2.7,0.9,0.6,1.7,3.2,13.1,.425,.373,.809,louzama01
Kevin Love,6.7,15.8,3.6,9.5,3.4,4.0,1.6,10.9,3.5,0.7,0.4,2.2,2.1,20.4,.426,.380,.832,loveke01
Kyle Lowry,5.0,11.7,2.5,6.8,2.9,3.4,0.6,5.0,7.5,1.1,0.3,2.9,3.1,15.4,.430,.371,.850,lowryky01
Gabriel Lundberg,5.6,13.6,2.0,5.5,2.0,2.6,1.6,6.4,4.8,1.4,0.6,2.1,3.5,15.3,.414,.359,.774,lundbga01
Timothé Luwawu-Cabarrot,4.4,11.1,2.4,6.9,1.8,2.2,1.0,4.7,2.3,1.0,0.3,1.4,3.7,13.1,.399,.345,.832,luwawti01
Trey Lyles,5.8,12.5,1.6,4.8,3.8,4.8,1.9,8.8,2.1,0.7,0.7,1.6,2.7,17.0,.467,.334,.794,lylestr01
Théo Maledon,4.9,12.5,2.0,6.0,2.7,3.4,0.7,5.0,4.6,1.2,0.4,2.6,2.6,14.5,.393,.331,.783,maledth01
